glove_red=1,avg_KD,avg_SIG_STR_pct,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,total_time_fought(seconds),total_rounds_fought,Height_cms,Reach_cms,Weight_lbs,age,winner_red=1_blue=0_draw=2
1,0.510284424,0.477766647,39.46958923,92.73500061,48.65775299,870.1791763,42,180.34,193.04,170,32,0
1,0.001953125,0.502324219,59.07226563,193.0820313,131.5058594,840.75,30,175.26,172.72,125,31,0
1,0.171875,0.35546875,38.0546875,104.1015625,38.265625,529.875,15,170.18,177.8,145,29,0
1,0.125,0.38375,10.125,36.625,21.75,291.5,6,187.96,187.96,205,24,1
1,,,,,,,0,177.8,177.8,155,29,0
1,0,0.475,79,172.5,83.5,739.5,5,177.8,185.42,185,29,1
1,0,0.46953125,18.078125,54.53125,32.25,602.734375,12,165.1,160.02,125,25,1
1,0,0.66875,27.375,59.375,41.125,413.125,11,180.34,180.34,170,38,0
1,0.2890625,0.34671875,71.046875,197.4140625,72.2421875,828.2421875,20,172.72,175.26,145,29,1
1,0,0.56875,8.625,18,11.9375,120.125,5,180.34,177.8,205,33,0
1,0.25,0.4725,48,139.5,64.25,712,7,172.72,177.8,135,28,1
1,0,0.37,36,100,41,900,3,182.88,187.96,155,26,0
1,0.25,0.45984375,47.046875,107.359375,47.890625,729.65625,15,167.64,170.18,135,32,0
1,0.3125,0.653125,19.03125,43.125,23.0625,383.46875,10,190.5,185.42,185,29,1
1,2,0.62,37,67,45,268,1,190.5,193.04,250,31,1
1,0,0.52875,37.375,82.875,44.5,727.25,12,185.42,185.42,185,32,0
1,0.256347656,0.491429443,58.81896973,141.2304688,77.82043457,826.7131348,34,193.04,198.12,265,38,0
1,0.5,0.56,49.5,115.25,70.75,900,9,177.8,182.88,145,24,0
1,1,1,10,10,10,45,1,195.58,198.12,256,27,1
1,0.570402145,0.515535631,67.16823459,134.0913293,75.42605925,806.3778987,58,180.34,190.5,145,34,1
1,0,0.42,85,199,86,900,3,180.34,190.5,185,26,0
1,0.5,0.425,54.75,132,58.25,900,9,182.88,187.96,145,32,1
1,0,0.41,44,118,54,900,3,167.64,172.72,135,30,0
1,0,0.56,79,224,155,900,3,165.1,165.1,135,26,1
1,0,0.43,32.5,100,55.5,840,6,182.88,,185,31,0
1,0.020874023,0.33956604,17.55389404,70.94677734,37.21463013,489.1483765,45,187.96,190.5,170,36,1
1,0,0.295,13.25,71.75,40.25,835.5,9,190.5,200.66,205,34,0
1,1,0.435,60.75,142.5,65,818,8,175.26,175.26,145,24,2
1,0.28125,0.5825,32.6640625,125.9140625,86.2265625,982.78125,21,175.26,180.34,135,36,1
1,0,0.52,89,195,112,900,3,172.72,182.88,135,25,1
1,0.033203125,0.556113281,29.19238281,113.4960938,68.58789063,782.7792969,38,172.72,175.26,135,38,1
1,0.5,0.335,14,41.5,15,515,4,182.88,187.96,250,33,0
1,,,,,,,0,185.42,190.5,185,29,0
1,0,0.525,76,160,90,900,6,154.94,154.94,115,24,1
1,0,0.55375,36.625,75.125,40.5,541.5,10,170.18,172.72,140,29,1
1,0,0.23,4,21,7,380,2,172.72,185.42,170,24,1
1,0,0.405,27.625,101.875,48.125,552.5,12,172.72,172.72,135,29,1
1,1.1015625,0.406953125,54.8046875,134.921875,56.4609375,1165.601563,26,193.04,203.2,185,31,1
1,0.1875,0.3475,79.875,237.5625,84.6875,900,15,162.56,175.26,125,27,0
1,0.5,0.365,90.5,232.75,94.5,820,8,172.72,182.88,145,27,0
1,0.000123531,0.500232726,25.10193165,63.2877007,34.24691855,764.289835,81,177.8,182.88,170,38,0
1,0.5,0.555,64.5,132,82,900,6,170.18,180.34,155,28,1
1,0.359375,0.5196875,72.453125,161.9375,75.21875,953.84375,15,193.04,195.58,205,30,0
1,0.25,0.4725,65.25,164.1875,81.8125,833.4375,13,172.72,185.42,145,29,1
1,,,,,,,0,177.8,185.42,205,32,1
1,0,0.3975,37.25,84.75,46.25,532.25,7,190.5,198.12,205,25,0
1,0,0.95,22,52,44,216,1,190.5,203.2,250,39,1
