fighter,gloves_color,date,Winner,avg_KD,avg_SIG_STR_pct,avg_TD_pct,avg_SUB_ATT,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_TD_landed,avg_CTRL_time(seconds),total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,Height_cms,Reach_cms,Weight_lbs,age
Michael Chiesa,red,1/20/2021,Red,0.000244141,0.368837891,0.722144775,0.165405273,18.96704102,95.55822754,56.01220703,4.927001953,530.5723877,765.4797363,30,1,2,0,3,10,4,0,0,0,4,0,6,0,Southpaw,185.42,190.5,170,33
Lerone Murphy,red,1/20/2021,Red,0,0.45,0.25,1,25,79,44.5,0.5,325.5,579,4,0,0,1,1,1,1,0,0,0,0,1,0,0,Orthodox,175.26,185.42,145,29
Su Mudaerji,red,1/20/2021,Red,0.5,0.5475,0.25,0.5,32.25,59.25,35.25,0.25,62,353.75,6,0,0,1,2,2,1,0,0,0,1,1,0,0,Southpaw,172.72,182.88,125,25
Francisco Figueiredo,red,1/20/2021,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,167.64,175.26,135,31
Mike Davis,red,1/20/2021,Red,1,0.455,0.5,0,76,136.5,79,1,58,720,5,0,0,1,1,1,1,0,0,0,0,1,0,0,Orthodox,182.88,182.88,145,28
Dalcha Lungiambula,red,1/20/2021,Red,0.5,0.485,0.33,0,19,56.5,38.5,2,241.5,635.5,6,0,1,0,1,1,1,0,0,0,0,1,0,0,Orthodox,172.72,193.04,185,33
Umar Nurmagomedov,red,1/20/2021,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,,135,24
Victoria Leonardo,red,1/20/2021,Blue,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,162.56,125,30
Wu Yanan,red,1/16/2021,Blue,0,0.4575,0.125,0.25,71.5,171,85.25,0.25,92.25,735,7,0,0,1,1,1,2,0,0,0,0,0,1,0,Orthodox,172.72,167.64,125,24
Punahele Soriano,red,1/16/2021,Red,2,0.59,1,0,26,46,26,1,74,197,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Southpaw,180.34,182.88,185,28
Carlos Felipe,red,1/16/2021,Red,0,0.4,0,0,61,154,66,0,44,900,6,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,182.88,190.5,245,26
Carlos Condit,red,1/16/2021,Red,0.510437012,0.35978302,0.130175323,0.383026123,52.77694702,150.4733887,62.60731506,0.140686035,31.20773315,694.5741882,48,3,0,1,5,8,9,0,0,1,2,4,0,1,Orthodox,187.96,190.5,170,36
David Zawada,red,1/16/2021,Blue,0.25,0.315,0.1,2.25,27.5,88,46.75,0.5,52.75,521.75,7,0,0,2,1,1,2,0,0,0,0,0,1,0,Orthodox,182.88,190.5,170,30
